feature,spearman,pearson_on_logy,decile_monot_r2_signed,mse_reduction,decile_med_lift_log,top_decile_5x_rate,top_over_bottom_5x_ratio,combined_score
top20_token_share_ext,0.13879690154491475,0.20846330547069156,0.6906786207225095,396.767326093508,0.24238719617546856,0.21604938271604937,2.1875,4.43630499809758
pa_buy_vol_share,0.20710092248290948,0.12707195549223638,0.8187458514326372,24.49472515661546,0.28396533771979904,0.17901234567901234,2.5217391304347827,4.006667661822399
pa_price_change_pct,0.21670816852026425,0.01013890984652428,0.7260025633981648,51.18341714310009,0.3641205452267866,0.19135802469135801,1.9375,3.715080002709538
pa_velocity_pct_per_sec,0.21521037438684923,0.010312361633664158,0.7278270010602745,50.81168566280394,0.3629173413491432,0.19135802469135801,2.0,3.7072032263133563
cutoff_cap,0.20075666640712186,0.00911276820614684,0.8637608225437823,157.04884326075262,0.2734156164648358,0.17901234567901234,1.2340425531914891,3.564004902960776
top20_avg_unrealized_profit_pct_ext,0.21173586276824863,0.017531661274767647,0.7264477692986302,54.4728232591915,0.31829483083953347,0.1419753086419753,1.6428571428571428,3.3034129106473427
top20_unrealized_profit_usd_ext,0.16683156496176643,0.009178272880202717,0.683158813496851,95.89955623917558,0.2741200033640736,0.19135802469135801,1.4090909090909092,3.231397018164918
pa_buy_sell_ratio,0.15339229843187263,0.06924903989480566,0.8072687128725666,26.582218133742572,0.2135057975270045,0.1419753086419753,2.006172839506173,3.0495074909492152
pa_vol_first_30s_share,-0.10875631854827643,-0.06240872853984694,-0.40979911038133976,903.7659082883183,-0.20862276274032532,0.10185185185185185,0.6875,3.0242812667680603
volume_weighted_price_change_ext,0.11190768888445533,0.0020166230049552493,0.7292752664589266,232.38717531026487,0.2075309037705566,0.1882716049382716,0.9682539682539683,2.9276438496304835
pa_max_runup_pct,0.11492460820660379,0.009189936964324432,0.7664757651114134,71.2514263813282,0.19049662101625886,0.20679012345679013,2.3928571428571432,2.917484265598977
buy_count_gini,-0.0984797436936545,-0.014085260337787543,-0.7256358514332985,574.2945016105041,-0.08582686084983826,0.18518518518518517,1.0714285714285714,2.9131259949832975
sn_buys_in_first_3_blocks,0.09372525602850328,0.04728032218535217,0.8399532406467941,521.2675614759391,0.09682435258922562,0.14080459770114942,1.1993534482758619,2.8766370309470357
price_sustainability_ext,0.1674681618724435,0.03384088960859413,0.4935016473942677,99.34007483959431,0.25751028972992307,0.1388888888888889,1.5517241379310347,2.7897179636511984
price_stability_near_peak_ext,0.12057941484431775,0.07142364115534582,0.7553023230756303,152.92919577641078,0.1252798018917609,0.14506172839506173,0.8245614035087719,2.7571622949395316
sell_size_gini,0.07455246295164249,0.083956018399597,0.7697059817359132,78.85627002111505,0.11564571728477446,0.16666666666666666,3.176470588235294,2.649260262612054
sn_unique_buyers_first_3_blocks,0.09313344967079416,0.043579047338630966,0.7735053745466449,335.09765174831773,0.09664581497546354,0.14325068870523416,1.273769637406001,2.6108539228441896
sell_count_gini,0.0514363243453159,0.10628900272873967,0.3512242064822998,288.53251642466057,0.11531722511525055,0.18518518518518517,3.1578947368421053,2.5329322642900785
sn_first_block_buy_vol_sol,0.07069416470872081,0.0514749485522378,0.606326099344089,104.24554200792772,0.1264588332574763,0.1723076923076923,1.298318425760286,2.3928541863368418
pa_n_buys,0.12934271814500825,0.015210994657467948,0.7981651966575843,77.01634197093881,0.17404687963009124,0.10153846153846154,0.8275384615384616,2.3644205276485617
sn_avg_buy_per_buyer,-0.0431566855363783,0.045139172756076776,-0.2747759611515773,616.1369762623872,-0.0749043097616624,0.17901234567901234,1.4146341463414633,2.3043802237164406
sn_top5_buyer_share,-0.05743558900758063,0.06849543172058703,-0.19817467234989977,389.46825343849196,-0.12966907773865488,0.17592592592592593,2.035714285714286,2.3032619960745038
sn_top3_buyer_share,-0.051902024395781704,0.07174215448768582,-0.2528756797349846,365.86827375241046,-0.11757144971813793,0.1728395061728395,2.074074074074074,2.274772112629484
sn_slot_clustering,-0.11657515202759204,-0.027525244207555158,-0.6519297140212248,124.67879013229685,-0.15621525334747832,0.10185185185185185,1.064516129032258,2.2111744957943005
price_volatility_ext,-0.06734467280465485,0.01747517823413495,-0.33428779302054495,335.85547292718184,-0.14875435061266606,0.16049382716049382,0.896551724137931,2.151697095107185
dev_net_position,0.033157221878629635,0.10292983164953765,0.3755335755763779,185.77111160881032,0.049388165735240075,0.17592592592592593,1.706979385045423,2.1148124507127046
start_cap,-0.10319350609140927,-0.03135388082929046,-0.6774483043412295,16.318707331745827,-0.14029767376542168,0.11246200607902736,0.7274886018237082,2.1051142136580183
sell_size,-0.10536796841194124,-0.029541443396640905,-0.5079868691274531,91.24604171273313,-0.1194850447465865,0.13271604938271606,0.7543859649122807,2.070028049482107
amount_of_instructions,-0.07621066271889092,-0.07782833870900466,-0.8850787624620755,20.29047436959445,-0.07905813446140963,0.07784431137724551,0.6383233532934132,2.0464332445627824
deals_count_gini,-0.06184822441997169,0.02280812593305818,-0.3170442239706653,420.07799986890313,0.007005958393533573,0.18518518518518517,1.3636363636363635,1.979273072644343
pa_acceleration,-0.007740613962273576,-0.007042085980003518,-0.08047221057533262,982.8853193447612,-0.04081584588661902,0.1697530864197531,1.0377358490566038,1.9747390216920415
